,IFC,Master Format,eBPK,Master Format indexes,eBPK indexes
2421,transport  element,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Material transport system' 'Transport system for the environment'
 'Water installation element']",[6473 6654 6487],[243 275 127]
2422,transport  element,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Material transport system' 'Transport system for the environment'
 'Water installation element']",[6473 6654 6487],[243 275 127]
2423,transport  element,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Material transport system' 'Transport system for the environment'
 'Water installation element']",[6473 6654 6487],[243 275 127]
2424,transport  element,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Material transport system' 'Transport system for the environment'
 'Water installation element']",[6473 6654 6487],[243 275 127]
2425,transport  element,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Material transport system' 'Transport system for the environment'
 'Water installation element']",[6473 6654 6487],[243 275 127]
2426,transport  element,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Material transport system' 'Transport system for the environment'
 'Water installation element']",[6473 6654 6487],[243 275 127]
2427,transport  element,"['Transportation' 'Transportation Equipment'
 'Schedules for Transportation']","['Material transport system' 'Transport system for the environment'
 'Water installation element']",[6473 6654 6487],[243 275 127]
2428,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
2429,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
2430,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
2431,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
2432,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
2433,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
2434,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
2435,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
2436,vehicle,['Vehicle Delineators' 'Vehicle Barriers' 'Vehicle Turntables'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6636 6629 3560],[327 102 104]
2437,vibration  damper,"['Bridge Vibration Dampers' 'Tuned-Mass Bridge Vibration Dampers'
 'Vibration Monitoring Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6677 6679 7355],[327 102 104]
2438,vibration  damper,"['Bridge Vibration Dampers' 'Tuned-Mass Bridge Vibration Dampers'
 'Vibration Monitoring Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6677 6679 7355],[327 102 104]
2439,vibration  damper,"['Bridge Vibration Dampers' 'Tuned-Mass Bridge Vibration Dampers'
 'Vibration Monitoring Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6677 6679 7355],[327 102 104]
2440,vibration  damper,"['Bridge Vibration Dampers' 'Tuned-Mass Bridge Vibration Dampers'
 'Vibration Monitoring Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6677 6679 7355],[327 102 104]
2441,vibration  damper,"['Bridge Vibration Dampers' 'Tuned-Mass Bridge Vibration Dampers'
 'Vibration Monitoring Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6677 6679 7355],[327 102 104]
2442,vibration  damper,"['Bridge Vibration Dampers' 'Tuned-Mass Bridge Vibration Dampers'
 'Vibration Monitoring Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6677 6679 7355],[327 102 104]
2443,vibration  damper,"['Bridge Vibration Dampers' 'Tuned-Mass Bridge Vibration Dampers'
 'Vibration Monitoring Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6677 6679 7355],[327 102 104]
2444,vibration  damper,"['Bridge Vibration Dampers' 'Tuned-Mass Bridge Vibration Dampers'
 'Vibration Monitoring Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6677 6679 7355],[327 102 104]
2445,virtual  element,"['Virtual Reality Equipment' 'Virtual Private Network Software'
 'Element Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4808 4818 8491],[127 187 168]
2446,virtual  element,"['Virtual Reality Equipment' 'Virtual Private Network Software'
 'Element Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4808 4818 8491],[127 187 168]
2447,virtual  element,"['Virtual Reality Equipment' 'Virtual Private Network Software'
 'Element Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4808 4818 8491],[127 187 168]
2448,virtual  element,"['Virtual Reality Equipment' 'Virtual Private Network Software'
 'Element Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4808 4818 8491],[127 187 168]
2449,virtual  element,"['Virtual Reality Equipment' 'Virtual Private Network Software'
 'Element Screens']","['Water installation element' 'Special component'
 'Element to inclined roof']",[4808 4818 8491],[127 187 168]
2450,rail,['Rail Vehicles' 'Bumper Rails' 'Rail Network Equipment'],['Heat train investment share' 'Gear' 'VAT'],[7725 2543 6577],[109 147 327]
2451,rail,['Rail Vehicles' 'Bumper Rails' 'Rail Network Equipment'],['Heat train investment share' 'Gear' 'VAT'],[7725 2543 6577],[109 147 327]
2452,rail,['Rail Vehicles' 'Bumper Rails' 'Rail Network Equipment'],['Heat train investment share' 'Gear' 'VAT'],[7725 2543 6577],[109 147 327]
2453,rail,['Rail Vehicles' 'Bumper Rails' 'Rail Network Equipment'],['Heat train investment share' 'Gear' 'VAT'],[7725 2543 6577],[109 147 327]
2454,rail,['Rail Vehicles' 'Bumper Rails' 'Rail Network Equipment'],['Heat train investment share' 'Gear' 'VAT'],[7725 2543 6577],[109 147 327]
2455,rail,['Rail Vehicles' 'Bumper Rails' 'Rail Network Equipment'],['Heat train investment share' 'Gear' 'VAT'],[7725 2543 6577],[109 147 327]
2456,rail,['Rail Vehicles' 'Bumper Rails' 'Rail Network Equipment'],['Heat train investment share' 'Gear' 'VAT'],[7725 2543 6577],[109 147 327]
2457,rail,['Rail Vehicles' 'Bumper Rails' 'Rail Network Equipment'],['Heat train investment share' 'Gear' 'VAT'],[7725 2543 6577],[109 147 327]
2458,railway,['Railway Equipment' 'Railway Embankments' 'Railway Construction'],['Rainwater line' 'Gas line' 'Power line'],[6652 5343 6639],[34 35 28]
2459,railway,['Railway Equipment' 'Railway Embankments' 'Railway Construction'],['Rainwater line' 'Gas line' 'Power line'],[6652 5343 6639],[34 35 28]
2460,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2461,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2462,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2463,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2464,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2465,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2466,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2467,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2468,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2469,railway  part,['Spare Parts' 'Railway Equipment' 'Railway Embankments'],['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 6652 5343],[187   3 115]
2470,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2471,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2472,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2473,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2474,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2475,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2476,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2477,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2478,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2479,track  element,['Direct-Fixation Track' 'Monorail Track' 'Track Rails'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[6509 6530 6499],[127 187 168]
2480,kerb,['Asphalt Curbs' 'Curbs and Gutters' 'Manufactured Curbs'],['Recreation system control' 'Access control system' 'Refrigeration'],[5709 5705 1646],[235  94 111]
2481,kerb,['Asphalt Curbs' 'Curbs and Gutters' 'Manufactured Curbs'],['Recreation system control' 'Access control system' 'Refrigeration'],[5709 5705 1646],[235  94 111]
2482,road,['Temporary Roads' 'Temporary Access Roads' 'Road-Mix Asphalt Paving'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 442  439 5650],[327 102 104]
2483,road,['Temporary Roads' 'Temporary Access Roads' 'Road-Mix Asphalt Paving'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 442  439 5650],[327 102 104]
2484,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2485,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2486,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2487,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2488,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2489,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2490,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2491,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2492,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2493,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2494,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2495,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2496,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
2497,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
